country,earmarked_value,Donor Name,year,transaction_type,flow_type,value,Channel Name,unearmarked_value,earmarked_plus_unearmarked,diff_iati_and_both,diff_percentage
"Gavi, The Vaccine Alliance",124.629205,Global Alliance for Vaccines and Immunization,2018,Disbursements,ODA,1359.80962446,Global Alliance for Vaccines and Immunization,1564.564986,1689.194191,-329.38456654,-19.4995085997191
"Gavi, The Vaccine Alliance",56.354567,Global Alliance for Vaccines and Immunization,2019,Disbursements,ODA,1827.35987011,Global Alliance for Vaccines and Immunization,2081.161411,2137.515978,-310.156107889999,-14.5101188052967
"Gavi, The Vaccine Alliance",389.893167,Global Alliance for Vaccines and Immunization,2020,Disbursements,ODA,1987.24510097,Global Alliance for Vaccines and Immunization,1993.314636,2383.207803,-395.96270203,-16.6146947627294
"Gavi, The Vaccine Alliance",2712.687713,Global Alliance for Vaccines and Immunization,2021,Disbursements,ODA,12438.53656185,Global Alliance for Vaccines and Immunization,1700,4412.687713,8025.84884885,181.881188310821
Global Fund,17.320322,Global Fund,2018,Disbursements,ODA,3182.94070297,"Global Fund to Fight AIDS, Tuberculosis and Malaria",3282.929513,3300.249835,-117.30913203,-3.55455307613099
Global Fund,20.75053,Global Fund,2019,Disbursements,ODA,3497.68281152,"Global Fund to Fight AIDS, Tuberculosis and Malaria",3583.303763,3604.054293,-106.371481480001,-2.95143948543179
Global Fund,84.191383,Global Fund,2020,Disbursements,ODA,4181.47317893,"Global Fund to Fight AIDS, Tuberculosis and Malaria",4254.927259,4339.118642,-157.645463070002,-3.63312174836822
Global Fund,640.505732,Global Fund,2021,Disbursements,ODA,5009.42328163,"Global Fund to Fight AIDS, Tuberculosis and Malaria",5192.38718,5832.892912,-823.469630370002,-14.1176881316624
International Committee of the Red Cross,1608.526917,,2018,Disbursements,ODA,0,International Committee of the Red Cross,0,1608.526917,-1608.526917,-100
International Committee of the Red Cross,1498.629533,,2019,Disbursements,ODA,0,International Committee of the Red Cross,0,1498.629533,-1498.629533,-100
International Committee of the Red Cross,1655.100556,,2020,Disbursements,ODA,0,International Committee of the Red Cross,0,1655.100556,-1655.100556,-100
International Committee of the Red Cross,1713.891719,,2021,Disbursements,ODA,0,International Committee of the Red Cross,0,1713.891719,-1713.891719,-100
International Fund for Agricultural Development,106.112365,IFAD,2018,Disbursements,ODA,0,International Fund for Agricultural Development,810.772829,916.885194,-916.885194,-100
International Fund for Agricultural Development,113.175783,IFAD,2019,Disbursements,ODA,0,International Fund for Agricultural Development,885.68396,998.859743,-998.859743,-100
International Fund for Agricultural Development,465.756329,IFAD,2020,Disbursements,ODA,0,International Fund for Agricultural Development,805.808873000001,1271.565202,-1271.565202,-100
International Fund for Agricultural Development,591.30792,IFAD,2021,Disbursements,ODA,0,International Fund for Agricultural Development,797.538,1388.84592,-1388.84592,-100
UNAIDS,122.697117,UNAIDS,2018,Disbursements,ODA,57.980327,Joint United Nations Programme on HIV/AIDS,189.450551,312.147668,-254.167341,-81.4253531440767
UNAIDS,127.017139,UNAIDS,2019,Disbursements,ODA,60.766878,Joint United Nations Programme on HIV/AIDS,135.26688,262.284019,-201.517141,-76.8316505779943
UNAIDS,37.271476,UNAIDS,2020,Disbursements,ODA,71.035733,Joint United Nations Programme on HIV/AIDS,128.955648,166.227124,-95.1913910000004,-57.2658593311162
UNAIDS,25.965113,UNAIDS,2021,Disbursements,ODA,69.6711519999999,Joint United Nations Programme on HIV/AIDS,88.2017159999999,114.166829,-44.495677,-38.9742602030227
UNDP,2959.0035,UNDP,2018,Disbursements,ODA,4162.33636499999,United Nations Development Programme,304.497387,3263.500887,898.835477999986,27.5420632358475
UNDP,2349.722313,UNDP,2019,Disbursements,ODA,4272.733927,United Nations Development Programme,371.953332999999,2721.675646,1551.058281,56.9890935857681
