"","country","org_type","flow_type","transaction_type","year","aggregate_type","variable","value","measure"
"1","African Development Bank Group","African Development Bank Group","5-20%","Commitments","2018","Donor","Volume",586.972230028589,"Poverty"
"2","African Development Bank Group","African Development Bank Group","5-20%","Commitments","2019","Donor","Volume",1185.41862167555,"Poverty"
"3","African Development Bank Group","African Development Bank Group","5-20%","Commitments","2020","Donor","Volume",1527.60346625749,"Poverty"
"4","African Development Bank Group","African Development Bank Group","5-20%","Disbursements","2018","Donor","Volume",158.683926142006,"Poverty"
"5","African Development Bank Group","African Development Bank Group","5-20%","Disbursements","2019","Donor","Volume",532.792580270368,"Poverty"
"6","African Development Bank Group","African Development Bank Group","5-20%","Disbursements","2020","Donor","Volume",667.902927337366,"Poverty"
"7","African Development Bank Group","African Development Bank Group","Above 20%","Commitments","2018","Donor","Volume",3137.32836063432,"Poverty"
"8","African Development Bank Group","African Development Bank Group","Above 20%","Commitments","2019","Donor","Volume",4213.44637167335,"Poverty"
"9","African Development Bank Group","African Development Bank Group","Above 20%","Commitments","2020","Donor","Volume",5015.59822404733,"Poverty"
"10","African Development Bank Group","African Development Bank Group","Above 20%","Disbursements","2018","Donor","Volume",2228.81691223756,"Poverty"
"11","African Development Bank Group","African Development Bank Group","Above 20%","Disbursements","2019","Donor","Volume",1874.90247029193,"Poverty"
"12","African Development Bank Group","African Development Bank Group","Above 20%","Disbursements","2020","Donor","Volume",3392.91613104284,"Poverty"
"13","African Development Bank Group","African Development Bank Group","Less than 5%","Commitments","2018","Donor","Volume",2087.01584879614,"Poverty"
"14","African Development Bank Group","African Development Bank Group","Less than 5%","Commitments","2019","Donor","Volume",2644.55587433154,"Poverty"
"15","African Development Bank Group","African Development Bank Group","Less than 5%","Commitments","2020","Donor","Volume",1603.208669867,"Poverty"
"16","African Development Bank Group","African Development Bank Group","Less than 5%","Disbursements","2018","Donor","Volume",1184.58015733565,"Poverty"
"17","African Development Bank Group","African Development Bank Group","Less than 5%","Disbursements","2019","Donor","Volume",928.71283058576,"Poverty"
"18","African Development Bank Group","African Development Bank Group","Less than 5%","Disbursements","2020","Donor","Volume",1254.1739004263,"Poverty"
"19","African Development Bank Group","African Development Bank Group","Missing","Commitments","2018","Donor","Volume",7093.716892144,"Poverty"
"20","African Development Bank Group","African Development Bank Group","Missing","Commitments","2019","Donor","Volume",881.89939396284,"Poverty"
"21","African Development Bank Group","African Development Bank Group","Missing","Commitments","2020","Donor","Volume",3189.42553942197,"Poverty"
"22","African Development Bank Group","African Development Bank Group","Missing","Disbursements","2018","Donor","Volume",834.857356301259,"Poverty"
"23","African Development Bank Group","African Development Bank Group","Missing","Disbursements","2019","Donor","Volume",766.468923707696,"Poverty"
"24","African Development Bank Group","African Development Bank Group","Missing","Disbursements","2020","Donor","Volume",1202.77194966177,"Poverty"
"25","Asian Development Bank","Asian Development Bank","5-20%","Commitments","2018","Donor","Volume",7122.124,"Poverty"
"26","Asian Development Bank","Asian Development Bank","5-20%","Commitments","2019","Donor","Volume",5777.6,"Poverty"
"27","Asian Development Bank","Asian Development Bank","5-20%","Commitments","2020","Donor","Volume",6709.35,"Poverty"
"28","Asian Development Bank","Asian Development Bank","5-20%","Disbursements","2018","Donor","Volume",4154.20732598,"Poverty"
"29","Asian Development Bank","Asian Development Bank","5-20%","Disbursements","2019","Donor","Volume",4401.87430968,"Poverty"
"30","Asian Development Bank","Asian Development Bank","5-20%","Disbursements","2020","Donor","Volume",5980.62012946,"Poverty"
"31","Asian Development Bank","Asian Development Bank","Above 20%","Commitments","2018","Donor","Volume",873.18,"Poverty"
"32","Asian Development Bank","Asian Development Bank","Above 20%","Commitments","2019","Donor","Volume",524.78,"Poverty"
"33","Asian Development Bank","Asian Development Bank","Above 20%","Commitments","2020","Donor","Volume",862.68,"Poverty"
"34","Asian Development Bank","Asian Development Bank","Above 20%","Disbursements","2018","Donor","Volume",288.12037466,"Poverty"
"35","Asian Development Bank","Asian Development Bank","Above 20%","Disbursements","2019","Donor","Volume",296.90383078,"Poverty"
"36","Asian Development Bank","Asian Development Bank","Above 20%","Disbursements","2020","Donor","Volume",902.97441558,"Poverty"
"37","Asian Development Bank","Asian Development Bank","Less than 5%","Commitments","2018","Donor","Volume",9834.52,"Poverty"
"38","Asian Development Bank","Asian Development Bank","Less than 5%","Commitments","2019","Donor","Volume",12026.9726,"Poverty"
"39","Asian Development Bank","Asian Development Bank","Less than 5%","Commitments","2020","Donor","Volume",17979.671604,"Poverty"
"40","Asian Development Bank","Asian Development Bank","Less than 5%","Disbursements","2018","Donor","Volume",7255.8417233,"Poverty"
"41","Asian Development Bank","Asian Development Bank","Less than 5%","Disbursements","2019","Donor","Volume",8804.7202112,"Poverty"
"42","Asian Development Bank","Asian Development Bank","Less than 5%","Disbursements","2020","Donor","Volume",13196.55266982,"Poverty"
"43","Asian Development Bank","Asian Development Bank","Missing","Commitments","2018","Donor","Volume",611.7,"Poverty"
"44","Asian Development Bank","Asian Development Bank","Missing","Commitments","2019","Donor","Volume",282.3,"Poverty"
"45","Asian Development Bank","Asian Development Bank","Missing","Commitments","2020","Donor","Volume",588.65,"Poverty"
"46","Asian Development Bank","Asian Development Bank","Missing","Disbursements","2018","Donor","Volume",107.1297668,"Poverty"
"47","Asian Development Bank","Asian Development Bank","Missing","Disbursements","2019","Donor","Volume",163.84661228,"Poverty"
"48","Asian Development Bank","Asian Development Bank","Missing","Disbursements","2020","Donor","Volume",509.49350214,"Poverty"
"49","Australia","Australia","5-20%","Commitments","2018","Donor","Volume",0,"Poverty"
"50","Australia","Australia","5-20%","Commitments","2019","Donor","Volume",0,"Poverty"
"51","Australia","Australia","5-20%","Commitments","2020","Donor","Volume",0,"Poverty"
"52","Australia","Australia","5-20%","Disbursements","2018","Donor","Volume",236.0500585041,"Poverty"
"53","Australia","Australia","5-20%","Disbursements","2019","Donor","Volume",204.6564880047,"Poverty"
"54","Australia","Australia","5-20%","Disbursements","2020","Donor","Volume",189.8914340112,"Poverty"
"55","Australia","Australia","Above 20%","Commitments","2018","Donor","Volume",0,"Poverty"
"56","Australia","Australia","Above 20%","Commitments","2019","Donor","Volume",0,"Poverty"
"57","Australia","Australia","Above 20%","Commitments","2020","Donor","Volume",0,"Poverty"
"58","Australia","Australia","Above 20%","Disbursements","2018","Donor","Volume",730.5619206424,"Poverty"
"59","Australia","Australia","Above 20%","Disbursements","2019","Donor","Volume",763.885858175101,"Poverty"
"60","Australia","Australia","Above 20%","Disbursements","2020","Donor","Volume",483.4651010062,"Poverty"
"61","Australia","Australia","Less than 5%","Commitments","2018","Donor","Volume",0,"Poverty"
"62","Australia","Australia","Less than 5%","Commitments","2019","Donor","Volume",0,"Poverty"
"63","Australia","Australia","Less than 5%","Commitments","2020","Donor","Volume",0,"Poverty"
"64","Australia","Australia","Less than 5%","Disbursements","2018","Donor","Volume",769.1735199109,"Poverty"
"65","Australia","Australia","Less than 5%","Disbursements","2019","Donor","Volume",744.961061717999,"Poverty"
"66","Australia","Australia","Less than 5%","Disbursements","2020","Donor","Volume",433.0487658658,"Poverty"
