country,code,name,org_type,disbursements,commitments,gha,Comments - disb,Comments - comm
Belgium,XM-DAC-2-10,Belgium - DG Development Cooperation and Humanitarian Aid,bilateral,1,1,,,
Canada,CA-3,"Canada - Foreign Affairs, Trade and Development Canada",bilateral,1,1,,,
Canada,XM-DAC-301-2,Canada - International Development Research Centre,bilateral,0,0,,,
Denmark,XM-DAC-3-1,"Denmark - Ministry of Foreign Affairs, Denmark",bilateral,1,1,,,
EC,XI-IATI-EC_DEVCO,EC - Development and Cooperation-EuropeAid,bilateral,1,1,1,,
EC,XI-IATI-EC_NEAR,EC - DG Neighbourhood and Enlargement Negotiations,bilateral,1,1,1,,
EC,XI-IATI-EC_FPI,EC - Service for Foreign Policy Instruments,bilateral,1,1,1,,
EC,XI-IATI-EC_ECHO,EC - ECHO,bilateral,1,1,1,,
EC,XM-DAC-918-3,EC - European Investment Bank,bilateral,0,1,,,
France,FR-6,France - MAEDI,bilateral,0,0,,,
France,FR-3,AFD,bilateral,0,0,,Not Ok - no prior to 2020,Not OK
Germany,DE-1,Germany - BMZ,bilateral,1,1,1,,
Germany,DE-1,Germany - Fed Min for Economic Cooperation and Development,bilateral,1,1,1,,
Germany,XM-DAC-5-7,Germany - Federal Foreign Office,bilateral,1,1,1,,
Netherlands,NL-KVK-27378529,Netherlands - Enterprise Agency,bilateral,1,1,1,,
Netherlands,XM-DAC-7,Netherlands - Ministry of Foreign Affairs (DGIS),bilateral,1,1,1,,
New Zealand,NZ-1,New Zealand - Ministry of Foreign Affairs and Trade,bilateral,1,1,,,
Norway,NO-BRC-971277882,Norway - Norad,bilateral,1,1,1,,
Spain,ES-DIR3-EA0035768,Spain - AECID,bilateral,1,1,,,
Sweden,SE-0,Sweden,bilateral,1,1,1,"Pro-rata need to apply. Spreqad 2018, 2019 and 2020.","Pro-rata need to apply. Spreqad 2018, 2019 and 2020."
UK,GB-CHC-209131,UK - British Council,bilateral,1,1,,,
UK,GB-GOV-13,"UK - Department for Business, Energy and Industrial Strategy",bilateral,1,1,,,
UK,GB-GOV-15,UK - Department for International Trade,bilateral,0,0,,,
UK,GB-GOV-10,UK - Department of Health and Social Care (DHSC),bilateral,1,0,,,
UK,GB-GOV-1,"UK - Foreign, Commonwealth and Development Office (DFID)",bilateral,1,0,1,,
UK,GB-GOV-6,UK - Home Office,bilateral,0,0,,,
US,US-18,US - Millennium Challenge Corporation,bilateral,0,0,,,
US,US-USAGOV,US - The federal government of the United States,bilateral,0,1,,,
US,US-GOV-1,US - U.S. Agency for International Development,bilateral,1,1,1,,
African Development Bank Group,XM-DAC-46002,African Development Bank Group,ifi,1,1,,,
Asian Development Bank,XM-DAC-46004,Asian Development Bank,ifi,1,1,,,
European Bank for Reconstruction and Development,XI-IATI-EBRD,European Bank for Reconstruction and Development,ifi,1,1,,,
Inter-American Development Bank,XI-IATI-IADB,Inter-American Development Bank,ifi,1,1,,,
Multilateral Investment Fund,XI-IATI-MIF,Multilateral Investment Fund,ifi,1,1,,,
World Bank,44000,World Bank,ifi,1,1,,,
International Committee of the Red Cross,XM-DAC-21016,International Committee of the Red Cross,multilateral,1,0,,OK,
UNAIDS,XM-DAC-41110,UNAIDS,multilateral,0,0,,OK,
UNFPA,41119,UNFPA,multilateral,0,1,,Nothing prior to 2020,
UNHCR,XM-DAC-41121,UNHCR,multilateral,0,0,,Not OK - no 2020,No comms
UNIDO,XM-DAC-41123,UNIDO,multilateral,1,0,,Pro-rata need to apply - Spread September 2020 across Jan - September,No comms
Unitaid,XM-DAC-30010,Unitaid,multilateral,1,1,,OK,OK
UNOCHA,XM-DAC-41127,UNOCHA,multilateral,1,1,,OK,OK
UNOCHA,XM-OCHA-CERF,UNOCHA - Central Emergency Response Fund (CERF),multilateral,1,0,,OK,Check
UNRWA,XM-DAC-41130,UNRWA,multilateral,1,0,,Pro-rata need to apply - Spread December 2019 across full year?,Check
World Food Programme,XM-DAC-41140,World Food Programme,multilateral,1,1,,OK,OK
Australia,AU-5,Australian Aid,bilateral,1,0,,Agreed,No reporting
Finland,FI-3,Finland - Ministry for Foreign Affairs of Finland,bilateral,1,0,,OK,No reporting
"Gavi, The Vaccine Alliance",47122,"Gavi, The Vaccine Alliance",multilateral,0,0,,Not OK - only til April,Not OK - small in Jan and then nothing
Global Fund,47045,Global Fund,multilateral,1,1,,OK,OK
International Development Law Organization (IDLO),XM-DAC-47059,International Development Law Organization (IDLO),multilateral,0,0,,Not OK - Nothing,Noty Ok
International Fund for Agricultural Development,XM-DAC-41108,International Fund for Agricultural Development (IFAD),multilateral,1,0,,OK,Not Ok - completely different scale
UNICEF,XM-DAC-41122,UNICEF,multilateral,1,1,,OK from 2019,Pro rata - spread 2019 and 2020
UNDP,XM-DAC-41114,UNDP,multilateral,1,0,,OK from 2019,Not OK
Switzerland,CH-4,Switzerland - Swiss Agency for Development and Cooperation (SDC),bilateral,1,1,,pro-rata,pro-rata
International Finance Corporation,XM-DAC-903,International Finance Corporation,ifi,0,1,,,
