"","country","org_type","flow_type","transaction_type","year","quarter","month","aggregate_type","variable","value","timeframe","rollingyear"
"49","African Development Bank Group","African Development Bank Group","Not specified","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"50","African Development Bank Group","African Development Bank Group","Not specified","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"51","African Development Bank Group","African Development Bank Group","Not specified","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"52","African Development Bank Group","African Development Bank Group","Not specified","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"53","African Development Bank Group","African Development Bank Group","Not specified","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"54","African Development Bank Group","African Development Bank Group","Not specified","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"55","African Development Bank Group","African Development Bank Group","Not specified","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"56","African Development Bank Group","African Development Bank Group","Not specified","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"57","African Development Bank Group","African Development Bank Group","Not specified","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"58","African Development Bank Group","African Development Bank Group","Not specified","Commitments",2022,4,10,"Specific donor","Volume",0,"Monthly",NA
"59","African Development Bank Group","African Development Bank Group","Not specified","Commitments",2022,4,11,"Specific donor","Volume",0,"Monthly",NA
"60","African Development Bank Group","African Development Bank Group","Not specified","Commitments",2022,4,12,"Specific donor","Volume",0,"Monthly",NA
"109","African Development Bank Group","African Development Bank Group","ODA","Commitments",2022,1,1,"Specific donor","Volume",48.6631492648,"Monthly",NA
"110","African Development Bank Group","African Development Bank Group","ODA","Commitments",2022,1,2,"Specific donor","Volume",650.257761290032,"Monthly",NA
"111","African Development Bank Group","African Development Bank Group","ODA","Commitments",2022,1,3,"Specific donor","Volume",328.356595489664,"Monthly",NA
"112","African Development Bank Group","African Development Bank Group","ODA","Commitments",2022,2,4,"Specific donor","Volume",405.571167144416,"Monthly",NA
"113","African Development Bank Group","African Development Bank Group","ODA","Commitments",2022,2,5,"Specific donor","Volume",512.867214287232,"Monthly",NA
"114","African Development Bank Group","African Development Bank Group","ODA","Commitments",2022,2,6,"Specific donor","Volume",429.199068674936,"Monthly",NA
"115","African Development Bank Group","African Development Bank Group","ODA","Commitments",2022,3,7,"Specific donor","Volume",373.287985230888,"Monthly",NA
"116","African Development Bank Group","African Development Bank Group","ODA","Commitments",2022,3,8,"Specific donor","Volume",801.06212994612,"Monthly",NA
"117","African Development Bank Group","African Development Bank Group","ODA","Commitments",2022,3,9,"Specific donor","Volume",540.345560357064,"Monthly",NA
"118","African Development Bank Group","African Development Bank Group","ODA","Commitments",2022,4,10,"Specific donor","Volume",513.397139901408,"Monthly",NA
"119","African Development Bank Group","African Development Bank Group","ODA","Commitments",2022,4,11,"Specific donor","Volume",1719.20505058372,"Monthly",NA
"120","African Development Bank Group","African Development Bank Group","ODA","Commitments",2022,4,12,"Specific donor","Volume",0,"Monthly",NA
"169","African Development Bank Group","African Development Bank Group","OOF","Commitments",2022,1,1,"Specific donor","Volume",15.114801253272,"Monthly",NA
"170","African Development Bank Group","African Development Bank Group","OOF","Commitments",2022,1,2,"Specific donor","Volume",104.57230364616,"Monthly",NA
"171","African Development Bank Group","African Development Bank Group","OOF","Commitments",2022,1,3,"Specific donor","Volume",0.547586110008,"Monthly",NA
"172","African Development Bank Group","African Development Bank Group","OOF","Commitments",2022,2,4,"Specific donor","Volume",10.1936830226,"Monthly",NA
"173","African Development Bank Group","African Development Bank Group","OOF","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"174","African Development Bank Group","African Development Bank Group","OOF","Commitments",2022,2,6,"Specific donor","Volume",85.85227416136,"Monthly",NA
"175","African Development Bank Group","African Development Bank Group","OOF","Commitments",2022,3,7,"Specific donor","Volume",178.03105557468,"Monthly",NA
"176","African Development Bank Group","African Development Bank Group","OOF","Commitments",2022,3,8,"Specific donor","Volume",101.79185299808,"Monthly",NA
"177","African Development Bank Group","African Development Bank Group","OOF","Commitments",2022,3,9,"Specific donor","Volume",23.331900357472,"Monthly",NA
"178","African Development Bank Group","African Development Bank Group","OOF","Commitments",2022,4,10,"Specific donor","Volume",127.2398162476,"Monthly",NA
"179","African Development Bank Group","African Development Bank Group","OOF","Commitments",2022,4,11,"Specific donor","Volume",746.794565351128,"Monthly",NA
"180","African Development Bank Group","African Development Bank Group","OOF","Commitments",2022,4,12,"Specific donor","Volume",0,"Monthly",NA
"229","African Development Bank Group","African Development Bank Group","Other flows","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"230","African Development Bank Group","African Development Bank Group","Other flows","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
