year,org_type,flow_type,transaction_type,indicator,variable,value
2018,multilateral,OOF,commitments,overall,absolute,349.3590528
2018,ifi,Not specified,commitments,overall,absolute,142.579337
2018,ifi,ODA,commitments,overall,absolute,33373.56671
2018,ifi,OOF,commitments,overall,absolute,34834.47034
2018,multilateral,ODA,commitments,overall,absolute,13980.03859
2018,bilateral,ODA,commitments,overall,absolute,73579.01644
2018,bilateral,OOF,commitments,overall,absolute,11610.63412
2018,bilateral,Not specified,commitments,overall,absolute,11.29999855
2018,bilateral,Other flows,commitments,overall,absolute,18166.35161
2018,ifi,Other flows,commitments,overall,absolute,13489.10104
2018,multilateral,Not specified,commitments,overall,absolute,0
2019,multilateral,OOF,commitments,overall,absolute,510.404888
2019,ifi,Not specified,commitments,overall,absolute,209.8
2019,ifi,ODA,commitments,overall,absolute,21599.64952
2019,ifi,OOF,commitments,overall,absolute,36381.40062
2019,multilateral,ODA,commitments,overall,absolute,14289.81418
2019,bilateral,ODA,commitments,overall,absolute,73821.26704
2019,bilateral,OOF,commitments,overall,absolute,11231.99854
2019,bilateral,Not specified,commitments,overall,absolute,62.84851531
2019,bilateral,Other flows,commitments,overall,absolute,8084.613874
2019,ifi,Other flows,commitments,overall,absolute,16964.19975
2019,multilateral,Not specified,commitments,overall,absolute,0
2020,multilateral,OOF,commitments,overall,absolute,562.9729322
2020,ifi,Not specified,commitments,overall,absolute,522.75
2020,ifi,ODA,commitments,overall,absolute,62472.73544
2020,ifi,OOF,commitments,overall,absolute,28129.80996
2020,multilateral,ODA,commitments,overall,absolute,14516.88018
2020,bilateral,ODA,commitments,overall,absolute,54433.06276
2020,bilateral,OOF,commitments,overall,absolute,0.570573414
2020,bilateral,Not specified,commitments,overall,absolute,6.230744876
2020,bilateral,Other flows,commitments,overall,absolute,4725.012414
2020,ifi,Other flows,commitments,overall,absolute,13022.84411
2020,multilateral,Not specified,commitments,overall,absolute,6.962027
2018,multilateral,OOF,commitments,overall,percent,0.024380582
2018,ifi,Not specified,commitments,overall,percent,0.001742178
2018,ifi,ODA,commitments,overall,percent,0.407791813
2018,ifi,OOF,commitments,overall,percent,0.425642603
2018,multilateral,ODA,commitments,overall,percent,0.975619418
2018,bilateral,ODA,commitments,overall,percent,0.711821
2018,bilateral,OOF,commitments,overall,percent,0.112324051
