"country","Transaction type","year","month","Value US$bn","monthname","yyyymm","Organisation type"
"African Development Bank Group","Commitments",2020,12,0.350633578041239,"Dec","Dec-2020","IFI"
"African Development Bank Group","Commitments",2021,1,0,"Jan","Jan-2021","IFI"
"African Development Bank Group","Commitments",2021,2,0,"Feb","Feb-2021","IFI"
"African Development Bank Group","Commitments",2021,3,0,"Mar","Mar-2021","IFI"
"African Development Bank Group","Commitments",2021,4,0,"Apr","Apr-2021","IFI"
"African Development Bank Group","Commitments",2021,5,0,"May","May-2021","IFI"
"African Development Bank Group","Commitments",2021,6,0,"Jun","Jun-2021","IFI"
"African Development Bank Group","Commitments",2021,7,0,"Jul","Jul-2021","IFI"
"African Development Bank Group","Commitments",2021,8,0,"Aug","Aug-2021","IFI"
"African Development Bank Group","Commitments",2021,9,0,"Sep","Sep-2021","IFI"
"African Development Bank Group","Commitments",2021,10,0,"Oct","Oct-2021","IFI"
"African Development Bank Group","Commitments",2021,11,0,"Nov","Nov-2021","IFI"
"African Development Bank Group","Disbursements",2020,12,0.812765852918432,"Dec","Dec-2020","IFI"
"African Development Bank Group","Disbursements",2021,1,0,"Jan","Jan-2021","IFI"
"African Development Bank Group","Disbursements",2021,2,0,"Feb","Feb-2021","IFI"
"African Development Bank Group","Disbursements",2021,3,0,"Mar","Mar-2021","IFI"
"African Development Bank Group","Disbursements",2021,4,0,"Apr","Apr-2021","IFI"
"African Development Bank Group","Disbursements",2021,5,0,"May","May-2021","IFI"
"African Development Bank Group","Disbursements",2021,6,0,"Jun","Jun-2021","IFI"
"African Development Bank Group","Disbursements",2021,7,0,"Jul","Jul-2021","IFI"
"African Development Bank Group","Disbursements",2021,8,0,"Aug","Aug-2021","IFI"
"African Development Bank Group","Disbursements",2021,9,0,"Sep","Sep-2021","IFI"
"African Development Bank Group","Disbursements",2021,10,0,"Oct","Oct-2021","IFI"
"African Development Bank Group","Disbursements",2021,11,0,"Nov","Nov-2021","IFI"
"Asian Development Bank","Commitments",2020,12,5.6740515922041,"Dec","Dec-2020","IFI"
"Asian Development Bank","Commitments",2021,1,0.065,"Jan","Jan-2021","IFI"
"Asian Development Bank","Commitments",2021,2,0.15,"Feb","Feb-2021","IFI"
"Asian Development Bank","Commitments",2021,3,0.97,"Mar","Mar-2021","IFI"
"Asian Development Bank","Commitments",2021,4,0.1,"Apr","Apr-2021","IFI"
"Asian Development Bank","Commitments",2021,5,0.682,"May","May-2021","IFI"
"Asian Development Bank","Commitments",2021,6,0.00638,"Jun","Jun-2021","IFI"
"Asian Development Bank","Commitments",2021,7,0,"Jul","Jul-2021","IFI"
"Asian Development Bank","Commitments",2021,8,1.188,"Aug","Aug-2021","IFI"
"Asian Development Bank","Commitments",2021,9,0.04,"Sep","Sep-2021","IFI"
"Asian Development Bank","Commitments",2021,10,1.0605,"Oct","Oct-2021","IFI"
"Asian Development Bank","Commitments",2021,11,0.94,"Nov","Nov-2021","IFI"
"Asian Development Bank","Disbursements",2020,12,4.93190698219983,"Dec","Dec-2020","IFI"
"Asian Development Bank","Disbursements",2021,1,1.18287901437,"Jan","Jan-2021","IFI"
"Asian Development Bank","Disbursements",2021,2,1.00062601022,"Feb","Feb-2021","IFI"
"Asian Development Bank","Disbursements",2021,3,1.43864519101,"Mar","Mar-2021","IFI"
"Asian Development Bank","Disbursements",2021,4,1.00011358474,"Apr","Apr-2021","IFI"
"Asian Development Bank","Disbursements",2021,5,0.50851635656,"May","May-2021","IFI"
"Asian Development Bank","Disbursements",2021,6,1.0770018625,"Jun","Jun-2021","IFI"
"Asian Development Bank","Disbursements",2021,7,0.92439430511,"Jul","Jul-2021","IFI"
