"","country","org_type","flow_type","transaction_type","year","quarter","month","aggregate_type","oda_oof_other","variable","value","timeframe","rollingyear"
"34","Belgium","Belgium",NA,"Commitments",2020,4,10,"Specific donor","All flows","Volume",0.272393090595,"Monthly",NA
"35","Belgium","Belgium",NA,"Commitments",2020,4,11,"Specific donor","All flows","Volume",144.541344078135,"Monthly",NA
"36","Belgium","Belgium",NA,"Commitments",2020,4,12,"Specific donor","All flows","Volume",474.961861152225,"Monthly",NA
"37","Belgium","Belgium",NA,"Commitments",2021,1,1,"Specific donor","All flows","Volume",753.647805618093,"Monthly",NA
"38","Belgium","Belgium",NA,"Commitments",2021,1,2,"Specific donor","All flows","Volume",115.274005402419,"Monthly",NA
"39","Belgium","Belgium",NA,"Commitments",2021,1,3,"Specific donor","All flows","Volume",56.648737219554,"Monthly",NA
"40","Belgium","Belgium",NA,"Commitments",2021,2,4,"Specific donor","All flows","Volume",962.473393640718,"Monthly",NA
"41","Belgium","Belgium",NA,"Commitments",2021,2,5,"Specific donor","All flows","Volume",388.338372524673,"Monthly",NA
"42","Belgium","Belgium",NA,"Commitments",2021,2,6,"Specific donor","All flows","Volume",75.256076805867,"Monthly",NA
"43","Belgium","Belgium",NA,"Commitments",2021,3,7,"Specific donor","All flows","Volume",498.216517738137,"Monthly",NA
"44","Belgium","Belgium",NA,"Commitments",2021,3,8,"Specific donor","All flows","Volume",117.286790424111,"Monthly",NA
"45","Belgium","Belgium",NA,"Commitments",2021,3,9,"Specific donor","All flows","Volume",90.232269285771,"Monthly",NA
"82","Belgium","Belgium",NA,"Commitments",2020,4,10,"Specific donor","Not specified","Volume",0,"Monthly",NA
"83","Belgium","Belgium",NA,"Commitments",2020,4,11,"Specific donor","Not specified","Volume",0,"Monthly",NA
"84","Belgium","Belgium",NA,"Commitments",2020,4,12,"Specific donor","Not specified","Volume",0,"Monthly",NA
"85","Belgium","Belgium",NA,"Commitments",2021,1,1,"Specific donor","Not specified","Volume",0,"Monthly",NA
"86","Belgium","Belgium",NA,"Commitments",2021,1,2,"Specific donor","Not specified","Volume",0,"Monthly",NA
"87","Belgium","Belgium",NA,"Commitments",2021,1,3,"Specific donor","Not specified","Volume",0,"Monthly",NA
"88","Belgium","Belgium",NA,"Commitments",2021,2,4,"Specific donor","Not specified","Volume",0,"Monthly",NA
"89","Belgium","Belgium",NA,"Commitments",2021,2,5,"Specific donor","Not specified","Volume",0,"Monthly",NA
"90","Belgium","Belgium",NA,"Commitments",2021,2,6,"Specific donor","Not specified","Volume",0,"Monthly",NA
"91","Belgium","Belgium",NA,"Commitments",2021,3,7,"Specific donor","Not specified","Volume",0,"Monthly",NA
