"","Reporting Organsation Reference","Reporting Organisation Narrative","org_name","Organisation Type","tracker_commit","tracker_spend","YYYYMM year and month","Transaction Type Code","x_original_transaction_value_USDm_Sum","Transaction Type","IATI Organisation Name","Tracker Commit","Tracker Spend","Organisation Name","usability","usability_score","year_month"
"1","41119","United Nations Population Fund","UN - Population Fund","Multilateral","No","No","202112",2,"144.46440906","Commitments","United Nations Population Fund","No","No","UN - Population Fund","No","No","12-2021"
"2","44000","World Bank","World Bank","IFI","Yes","Yes","202101",2,"0.011451","Commitments","The World Bank","Yes","Yes","World Bank","Yes","Yes","01-2021"
"3","44000","World Bank","World Bank","IFI","Yes","Yes","202103",2,"13169.468482","Commitments","The World Bank","Yes","Yes","World Bank","Yes","Yes","03-2021"
"4","44000","World Bank","World Bank","IFI","Yes","Yes","202106",2,"23545.400915","Commitments","The World Bank","Yes","Yes","World Bank","Yes","Yes","06-2021"
"5","44000","World Bank","World Bank","IFI","Yes","Yes","202109",2,"524.540353","Commitments","The World Bank","Yes","Yes","World Bank","Yes","Yes","09-2021"
"6","44000","World Bank","World Bank","IFI","Yes","Yes","202112",2,"1110.174752","Commitments","The World Bank","Yes","Yes","World Bank","Yes","Yes","12-2021"
"7","47045","The Global Fund to Fight AIDS, Tuberculosis and Malaria","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Multilateral","Yes","Yes","202101",2,"2011.32561878","Commitments","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Yes","Yes","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Yes","Yes","01-2021"
"8","47045","The Global Fund to Fight AIDS, Tuberculosis and Malaria","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Multilateral","Yes","Yes","202102",2,"529.64571023","Commitments","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Yes","Yes","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Yes","Yes","02-2021"
"9","47045","The Global Fund to Fight AIDS, Tuberculosis and Malaria","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Multilateral","Yes","Yes","202103",2,"524.68585387","Commitments","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Yes","Yes","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Yes","Yes","03-2021"
"10","47045","The Global Fund to Fight AIDS, Tuberculosis and Malaria","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Multilateral","Yes","Yes","202104",2,"195.37214234","Commitments","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Yes","Yes","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Yes","Yes","04-2021"
"11","47045","The Global Fund to Fight AIDS, Tuberculosis and Malaria","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Multilateral","Yes","Yes","202105",2,"268.97022714","Commitments","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Yes","Yes","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Yes","Yes","05-2021"
"12","47045","The Global Fund to Fight AIDS, Tuberculosis and Malaria","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Multilateral","Yes","Yes","202106",2,"301.73154864","Commitments","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Yes","Yes","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Yes","Yes","06-2021"
"13","47045","The Global Fund to Fight AIDS, Tuberculosis and Malaria","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Multilateral","Yes","Yes","202107",2,"573.383832239999","Commitments","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Yes","Yes","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Yes","Yes","07-2021"
"14","47045","The Global Fund to Fight AIDS, Tuberculosis and Malaria","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Multilateral","Yes","Yes","202108",2,"619.66202991","Commitments","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Yes","Yes","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Yes","Yes","08-2021"
"15","47045","The Global Fund to Fight AIDS, Tuberculosis and Malaria","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Multilateral","Yes","Yes","202109",2,"432.91000152","Commitments","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Yes","Yes","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Yes","Yes","09-2021"
"16","47045","The Global Fund to Fight AIDS, Tuberculosis and Malaria","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Multilateral","Yes","Yes","202110",2,"241.71609824","Commitments","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Yes","Yes","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Yes","Yes","10-2021"
"17","47045","The Global Fund to Fight AIDS, Tuberculosis and Malaria","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Multilateral","Yes","Yes","202111",2,"372.13200846","Commitments","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Yes","Yes","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Yes","Yes","11-2021"
"18","47045","The Global Fund to Fight AIDS, Tuberculosis and Malaria","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Multilateral","Yes","Yes","202112",2,"746.56509373","Commitments","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Yes","Yes","The Global Fund to Fight AIDS, Tuberculosis and Malaria","Yes","Yes","12-2021"
"19","47122","Gavi, The Vaccine Alliance","Gavi, the Vaccine Alliance","Multilateral","Yes","Yes","202109",2,"2145.86199764","Commitments","Gavi, the vaccine alliance","Yes","Yes","Gavi, the Vaccine Alliance","Yes","Yes","09-2021"
"20","AU-5",NA,NA,"Bilateral",NA,NA,"202112",NA,"","Commitments","Australia - Department of  Foreign Affairs and Trade","No","No","Australia - Department of  Foreign Affairs and Trade","No","No","12-2021"
"21","CA-3","Foreign Affairs, Trade and Development Canada (DFATD)","Canada - Foreign Affairs, Trade and Development","Bilateral","Yes","Yes","202101",2,"58.759887615044","Commitments","Canada - Global Affairs Canada | Affaires mondiales Canada","Yes","Yes","Canada - Foreign Affairs, Trade and Development","Yes","Yes","01-2021"
"22","CA-3","Foreign Affairs, Trade and Development Canada (DFATD)","Canada - Foreign Affairs, Trade and Development","Bilateral","Yes","Yes","202102",2,"53.601996944538","Commitments","Canada - Global Affairs Canada | Affaires mondiales Canada","Yes","Yes","Canada - Foreign Affairs, Trade and Development","Yes","Yes","02-2021"
